,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frank_Dinner_Simply Baked Tofu,Frank,Dinner,Expo Station,Simply Baked Tofu,85.00 FHP2,77.35,4.96,0.46,0,0,6.8,1.7,0.34,0.43,NA,8.42,0,0.43,148.75,1.56,0,0,N/A,N/A,Soy,"Tofu (Water, Soybeans, Calcium Sulfate);"
Frank_Dinner_Zero Zone (Descr),Frank,Dinner,Expo Station,Zero Zone (Descr),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Dinner_Grilled Halal Chicken Breast,Frank,Dinner,Expo Station,Grilled Halal Chicken Breast,85.00 FHP2,217.02,16.69,3.64,0.02,62.42,178.61,0.26,0.05,0.04,NA,15.01,117.38,1.78,10.02,0.77,2.16,0,N/A,N/A,,"Halal Chicken Breast (May Contain Up To 2% Absorbed Water), Canola Oil, Lemon Juice, Kosher Salt, Black Pepper, Onion Powder, Garlic"
Frank_Dinner_Simply Cooked Tri Color Quinoa,Frank,Dinner,Expo Station,Simply Cooked Tri Color Quinoa,85.00 SP4,103.36,1.52,0,NA,0,2.31,17.63,1.82,0,NA,3.65,NA,NA,14.5,6.08,152,0,N/A,N/A,,"Water, White, Black and Red Quinoa"
Frank_Dinner_Black Eyed Peas,Frank,Dinner,Expo Station,Black Eyed Peas,214.49 SERV,526.615,13.8175,3.68942,0.014288,39.6893,380.066,66.0421,11.525,7.53466,NA,34.9276,54.3873,21.9797,155.901,8.65,42.6304,2.64E-09,N/A,N/A,Soy,"Blackeye Peas;Ham Hock (Pork, Water, Salt, Sodium Nitrite);Water;White Onion;Green Bell Pepper;Garlic;Celery;Canola Oil;Kosher Salt;Black Pepper;"
Frank_Dinner_Simply Roasted Butternut Squash,Frank,Dinner,Expo Station,Simply Roasted Butternut Squash,85.00 FHP2,38.25,0.09,0.02,NA,0,3.4,9.94,1.7,1.87,NA,0.85,9035.51,17.85,40.8,0.6,299.2,0,N/A,N/A,,Butternut Squash;
Frank_Dinner_Vegan African Black Bean Sauce,Frank,Dinner,Expo Station,Vegan African Black Bean Sauce,60.00 SHT4,42.22,0.19,0.01,0,0,184.41,7.94,2.32,0.99,NA,2.16,70.21,2.44,10.87,3.81,0.83,0,N/A,N/A,,"Prepared Black Beans, Water, Salt, Calcium Chloride, (Firming Agent), Ferrous Gluconate., Vine-Ripened Tomatoes, Salt, Citric Acid, And Calcium Chloride, Garlic, Kosher Salt, Onion Powder, Cardamom, Black Pepper, Nutmeg, Clove, Crushed Red Pepper, Cinnamon"
Frank_Dinner_Pepperoni Pizza,Frank,Dinner,Pizza,Pepperoni Pizza,117.00 PIZ,252.57,10.19,4.28,0,27.71,761.15,28.63,1.86,2.24,NA,12.16,276.17,1.79,206.57,1.88,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Pork, Beef, Salt, Contains 2% Or Less Of Water, Spice, Seasoning (Cane Sugar, Celery Juice Powder), Seasoning (Extractives Of Paprika, Natural Spice Extracti"
Frank_Dinner_Cheese Pizza,Frank,Dinner,Pizza,Cheese Pizza,78.00 PIZ,166.8,6.12,2.83,NA,17.57,495.3,19.28,1.24,1.53,NA,9.07,224.75,1.19,186.44,1.3,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose)"
Frank_Dinner_Garlic Cheese Bread Pizza Squares 2 Each,Frank,Dinner,Pizza,Garlic Cheese Bread Pizza Squares 2 Each,154.20 SERV,423.16,20.84,7.36,NA,39.68,1072.92,40.49,2.2,2.1,NA,19.77,372.12,2.95,439.02,2.32,37.89,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup,Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme);Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative);Soybean Oil, Water, Cultured Buttermilk, Vinegar, High Fructose Corn Syrup, Buttermilk, Salt, Contains less than 2% of Dehydrated Onion, Egg Yolk, Garlic Powder, Lactic Acid, Monosodium Glutamate, Onion Powder, Phosphoric Acid, Polysorbate 60, Potassium Sorbate"
Frank_Dinner_Stromboli Pizza,Frank,Dinner,Pizza,Stromboli Pizza,238.78 EA,574.15,33.22,14.95,NA,93.12,2078.44,36.56,3,4.32,NA,31.81,666.88,4.21,486.05,3.49,0,0,N/A,N/A,"Milk, Soy, Wheat","Enriched Unbleached Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron As Ferrous Sulfate, Thiamine Mononitrate, Enzyme, Riboflavin, Folic Acid), Water, Yeast, High Fructose Corn Syrup, Contains Less Than 2% Of The Following: Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme., Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid., Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Pasteurized Mi"
Frank_Dinner_Halal Lamb Chops,Frank,Dinner,Grill Station,Halal Lamb Chops,224.00 FHP2,291.19,13.05,4.02,NA,NA,255.4,153.69,0.36,0.15,NA,45.75,50.45,3.83,21.31,5.81,556.03,0,N/A,N/A,,"Lamb, Garlic, Lemon Juice, Extra Virgin Olive Oil, Parsley, Kosher Salt, Black Pepper, Dried Oregano, Cumin, Oregano"
Frank_Dinner_Mediterranean Cous Cous,Frank,Dinner,Grill Station,Mediterranean Cous Cous,85.00 FHP2,125.17,0.77,0.13,NA,NA,335.21,24.94,1.95,0.55,NA,4.12,197.18,7.59,15.34,0.53,0,0,N/A,N/A,Wheat,"Water, Couscous, Lemon, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Red Onion, Red Bell Pepper, Cucumber, Tomato, Basil, Red Wine Vinegar, Water, Potassium Metabisulfite, Lemon Juice, Kosher Salt, Spearmint Leaves, Black Pepper"
Frank_Dinner_Warm Pita Bread,Frank,Dinner,Grill Station,Warm Pita Bread,74.00 FHP2,190,4,0.5,0,0,370,32,1,2,NA,6,0,0,40,1.8,0,0,N/A,N/A,"Milk, Soy, Wheat","Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate B1, Riboflavin B2, Folic Acid), Water, Soybean Oil, Contains Less Than 2% Of: Yeast, Salt, Sugar, Dough Conditioner (Calcium Sulfate, Guar Gum, Vegetable Mono And Diglycerides, L-Cysteine, Calcium Peroxide, Enzyme), Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate), Non-Fat Dry Milk, Yeast Nutrients (Ammonium Sulfate, Ascorbic Acid, Azodicarbonamide), Calcium Propionate and Potassium Sorbate (Preservatives)"
Frank_Dinner_Chicken Udon Soup/BM,Frank,Dinner,Soup Station,Chicken Udon Soup/BM,236.00 BM,82.29,0.99,0.14,0,18.77,709.99,10.82,0.65,1.89,NA,7.25,28.96,0.66,10.84,0.27,1.94,0,N/A,N/A,"Soy, Wheat","Water, Udon (Flour, Salt, Starch, Water), Chicken Breast Skinless, Shiitake Mushroom, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness), Chicken Meat Including Natural Juices, Salt, Cane Sugar, Maltodextrin, Flavoring, Yeast Extract, Potato Starch, Turmeric, Natural Flavor, Green Onion, Brown Sugar, Lime Juice (Lime Juice From Concentrate (Water, Concentrated Lime Juice), Sodium Benzoate (Preservative), Lime Oil, Sodium Metabisulfite (Preservative)), Ginger, Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite As Preserva"
Frank_Dinner_Edamame Shiitake Salad,Frank,Dinner,Salad Bar,Edamame Shiitake Salad,85.00 HHP4,90.99,5.41,0.55,0.01,NA,113.7,7.05,2.96,2.26,NA,4.93,75.76,7.13,29.46,1.04,15.34,0,N/A,N/A,"Soy, Sesame","Shiitake Mushroom, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness), Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (As A Preservative), Jalapeno, Ginger, Kosher Salt, Scallions, Edamame, Orange, Sesame Seed Oil, Canola Oil, Black Pepper"
Frank_Dinner_Rice Krispy Cereal Bar,Frank,Dinner,Desserts,Rice Krispy Cereal Bar,44.00 BAR,180.13,2.79,1.78,NA,9.39,89.61,35.53,0,14.77,NA,1.14,101.46,5.33,53.35,3.2,0,0,N/A,N/A,Milk,"Marshmallos (Corn Syrup, Sugar, Modified Food Starch (Corn),Dextrose, Water, Gelatin, Natural and Artificial Flavor, Tetrasodium Pyrophosphate.Contains: Gelatin);Rice, sugar, contains 2% or less of salt, malt flavor.Vitamins and Minerals: Iron (ferric phosphate), vitamin C (ascorbic acid), vitamin E acetate, niacinamide, vitamin A palmitate, vitamin B6 (pyridoxine hydrochloride), vitamin B1 (thiamin hydrochloride), vitamin B2 (riboflavin), folic acid, vitamin B12, vitamin D3.;Unsalted Butter (Pasteurized Cream);Water, Sugar, Propylene Glycol, Vanillin, Caramel Color, Potassium Sorbate, Citric Acid and Et"
Frank_Dinner_Vegan Carrot Cake,Frank,Dinner,Desserts,Vegan Carrot Cake,108.00 SHEE,204.86,1.59,0.26,NA,NA,235.73,46.02,1.65,29.54,NA,2.28,5661.63,2.25,16.67,1.16,129.05,0,N/A,N/A,"Soy, Wheat","Carrot, Cane Sugar, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Apples, Water, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Water, Sugar, Cornstarch, Sodium Bicarbonate, Cinnamon, Nutmeg, Ginger, Allspice, Iodized Salt, Potato Starch, Tapioca Flour, Leavening (Calcium Lactate, Calciumcarbonate, Citric Acid), Cellulose Gum Modified Cellulose, Whole Soy Flour"
Frank_Dinner_Chocolate Banana Bundt Cake with Chocolate Ganache,Frank,Dinner,Desserts,Chocolate Banana Bundt Cake with Chocolate Ganache,85.00 CK,210.05,8.22,4.63,NA,15.18,208.93,33.06,1.89,21.48,NA,2.92,134.31,2.15,60.87,0.99,9.68,0,N/A,N/A,"Milk, Soy, Wheat","Bananas, Milk, Vitamin D3, Sugar, Chocolate Liquor, Cocoa Butter, Soya Lecithin (An Emulsifier), Vanilla Extract, Cane Sugar, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80 (Vegetarian), Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Natural Process Cocoa, Sodium Bicarbonate, Water, Sugar, Propylene Glycol, Vanillin, Caramel Color, Potassium Sorbate, Citric Acid And Ethyl Vanillin, Iodized Salt, White Distilled Vi"
Frank_Breakfast_Chicken Tender,Frank,Breakfast,Mainline,Chicken Tender,113.00 FHP2,247.19,12.95,1.76,0,23.54,623.85,17.66,1.18,0,NA,15.3,0,0,0,0.85,0,0,N/A,N/A,"Soy, Wheat","Chicken Breast Tenderloins Containing: Up To 12% Of A Solution Of Chicken Broth, Soy Protein Concentrate, Sodium Phosphates, Sugar, Salt, Flavorings, Wheat Flour, Salt, Leavening (Sodium Bicarbonate, Sodium Aluminum Phosphate, Monocalcium Phosphate), Wheat Gluten, Spices, Garlic Powder, Onion Powder, Natural Flavor, Water, Wheat Flour, Salt, Leavening (Sodium Bicarbonate, Sodium Acid Pyrophosphate, Sodium Aluminum Phosphate, Monocalcium Phosphate), Disodium Inosinate And Disodium Guanylate, Wheat Flour, Wheat Gluten, And Salt, Vegetable Oil"
"Frank_Breakfast_Vegan ""Chicken"" Tender/Incogmeato",Frank,Breakfast,Mainline,"Vegan ""Chicken"" Tender/Incogmeato",112.00 FHP2,255.44,8.84,0.99,0,0,98.25,25.55,3.93,1.96,0,21.62,NA,NA,78.6,NA,0,0,N/A,N/A,"Soy, Wheat","Water, Wheat Flour, Soy Protein Isolate, Wheat Gluten, Vegetable Oil (Corn, Canola And/Or Sunflower). Contains 2% Or Less Of Potato Starch, Yellow Corn Flour, Maltodextrin, Salt, Yeast Extract, Spices, Garlic Powder, Onion Powder, Tapioca Starch, Cornstarch, Tricalcium Phosphate, Natural Flavors, Color Added, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Paprika Extract Color, Xanthan Gum"
Frank_Breakfast_Fried Zucchini Sticks,Frank,Breakfast,Mainline,Fried Zucchini Sticks,127.00 FHP2,187.04,7.49,1.25,0,0,511.24,26.19,3.74,2.49,NA,3.74,NA,0,0,0.9,0,0,N/A,N/A,"Milk, Soy, Wheat","Zucchini, Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Oil (Soybean And/Or Canola), Enriched Bleached Wheat Flour (Bleached Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Yellow Corn Flour, Modified Corn Starch, Contains 2% Or Less Of Blue 1, Dextrose, Leavening (Sodium Bicarbonate, Sodium Aluminum Phosphate, Sodium Acid Pyrophosphate), Mono  Diglycerides, Natural Flavor, Paprika Oleoresin (Color), Red 40, Salt, Spices, Sugar, Wheat Starch, Whey, Yellow 5"
Frank_Breakfast_Seasoned Curly Fries,Frank,Breakfast,Mainline,Seasoned Curly Fries,85.00 FHP2,161.91,8.09,2.02,0,0,435.11,20.24,2.02,0,NA,2.02,0,4.85,0,1.1,0,0,N/A,N/A,"Soy, Wheat","Twister Fries (Potatoes, Vegetable Oil (May Contain One Or More Of The Following: Canola Oil, Sunflower Oil, Cottonseed Oil, Palm Oil, Corn Oil, Soybean Oil), Enriched Bleached Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Salt, Modified Food Starch, Spices, Corn Meal, Garlic Powder, Onion Powder, Leavening (Disodium Dihydrogen Pyrophosphate, Sodium Bicarbonate), Dried Yeast, Colored With Oleoresin Paprika, Dextrose.)"
Frank_Breakfast_Steamed Broccoli,Frank,Breakfast,Mainline,Steamed Broccoli,85.00 FHP2,23.8,0.3,0.05,NA,0,22.95,4.45,NA,NA,NA,2.53,2549.99,79.22,40.8,0.75,276.25,0,N/A,N/A,,Broccoli
Frank_Breakfast_Sauce/Wing/Buffalo,Frank,Breakfast,Mainline,Sauce/Wing/Buffalo,60.00 SHT4,20,0,0,0,0,1520,4,0,0,NA,0,NA,NA,NA,NA,NA,NA,N/A,N/A,,"Distilled Vinegar, Aged Cayenne Red Peppers, Salt, Water, Canola Oil, Paprika, Xanthan Gum, Sodium Benzoate (As A Preservative), Natural Butter Type Flavor And Garlic Powder."
Frank_Breakfast_Ranch Dressing,Frank,Breakfast,Mainline,Ranch Dressing,62.00 GAL,236.46,24.99,4.77,NA,19.63,371.87,2.26,0.13,1.26,NA,1.08,175.14,1.08,40.9,0.12,0,0,N/A,N/A,"Egg, Milk, Soy","Mayonnaise (Soybean Oil, Vinegar, Eggs, Water, Salt, Egg Yolks, Sugar, Calcium Disodium EDTA (To Protect Flavor), Dried Garlic, Dried Onions, Natural Flavor), Cultured Low-fat Milk, Salt, Modified Food Starch (Corn), Locust Bean Gum, Carrageenan, Sodium Citrate, Vitamin A Palmitate And Vitamin D3, Cultured Pasteurized Milk, Cream, Skim Milk, Modified Food Starch, Sodium Phosphate, Guar Gum, Calcium Sulfate, Carrageenan, Locust Bean Gum, Parsley, Kosher Salt, Black Pepper, Dill, Garlic, Onion Powder, Chives"
Frank_Breakfast_Allergen Friendly Station,Frank,Breakfast,Expo Station,Allergen Friendly Station,1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Jackfruit Tinga Tostadas,Frank,Breakfast,Expo Station,Jackfruit Tinga Tostadas,170.00 FHP2,93.48,1.17,0.17,NA,0,703.46,19.43,7.5,2.32,NA,3.02,254.6,6.62,67.82,3.63,130.35,0,N/A,N/A,Soy,"Organic Young Jackfruit, Water, Sea Salt, Lime Juice;Tomato;Red Onion;Corn Tortilla (Corn masa flour, water, contains 2% or less of: cellulose gum, guar gum, amylase, and propionic acid and benzoic acid (to maintain freshness).;Water;Yellow Onion;Lime Juice (Lime Juice From Concentrate (Water, Concentrated Lime Juice), Sodium Benzoate (Preservative), Lime Oil, Sodium Metabisulfite (Preservative).);Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil;WATER, EXPELLER PROCESSED NATURAL OIL BLEND (SOYBEAN, PALM FRUIT, AND OLIVE), MALTODEXTERIN, NON-GMO (SOY PROTEIN, TOFU), NON-DAIRY LAC"
Frank_Breakfast_Simply Baked Tofu,Frank,Breakfast,Expo Station,Simply Baked Tofu,85.00 FHP2,77.35,4.96,0.46,0,0,6.8,1.7,0.34,0.43,NA,8.42,0,0.43,148.75,1.56,0,0,N/A,N/A,Soy,"Tofu (Water, Soybeans, Calcium Sulfate);"
Frank_Breakfast_Chicken Tinga,Frank,Breakfast,Expo Station,Chicken Tinga,85.00 FHP2,103.99,3.49,0.88,0.02,71.51,228.1,2.11,0.4,0.67,NA,15.3,143.58,3.04,14.86,0.79,16.83,0,N/A,N/A,,"Chicken Skinless Thigh;Tomato;Yellow Onion;Water;Garlic;Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil;Red Bell Pepper Puree (red Peppers, Water, Salt, Citric Acid), Maltodextrin, Vegetable Oil (corn And/or Canola Oil), Onions, Chipotle Powder, Salt, Sugar, Olive Oil, Jalapeno Peppers, Spices, Carrot, Celery, Onion Powder, Vinegar, Modified Cornstarch, 2% Or Less Of Palm Oil, Garlic, Yeast Extract, Natural Smoke Flavor, Citric Acid, Natural Flavors.;Kosher Salt;Black Pepper;Chicken Meat Including Natural Juices, Salt, Cane Sugar, Maltodextrin, Flavoring, Yeast Extract, Potato Starch,"
Frank_Breakfast_Zero Zone (Descr),Frank,Breakfast,Expo Station,Zero Zone (Descr),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Grilled Halal Chicken Breast,Frank,Breakfast,Expo Station,Grilled Halal Chicken Breast,85.00 FHP2,217.02,16.69,3.64,0.02,62.42,178.61,0.26,0.05,0.04,NA,15.01,117.38,1.78,10.02,0.77,2.16,0,N/A,N/A,,"Halal Chicken Breast (May Contain Up To 2% Absorbed Water), Canola Oil, Lemon Juice, Kosher Salt, Black Pepper, Onion Powder, Garlic"
Frank_Breakfast_Sorghum/Cooked,Frank,Breakfast,Expo Station,Sorghum/Cooked,85.05 FHP2,127.35,1.24,0.17,NA,0,4.15,28.03,2.37,1.27,NA,4.24,0,0,11.94,1.65,0,0,N/A,N/A,,"Water, Whole Grain Sorghum"
Frank_Breakfast_Black Beans,Frank,Breakfast,Expo Station,Black Beans,85.00 FHP2,82.29,0.35,0.09,NA,0,195.1,15.37,3.77,1.12,NA,4.99,71.87,8.46,33.4,1.16,331.79,0,N/A,N/A,,"Water, Black Beans, White Onion, Jalapeno, Garlic, Kosher Salt"
Frank_Breakfast_Mushrooms/Sliced SP4,Frank,Breakfast,Expo Station,Mushrooms/Sliced SP4,28.00 SP4,6.16,0.1,0.01,NA,0,1.4,0.91,0.28,0.55,NA,0.87,0,0.59,0.84,0.14,89.04,1.96,N/A,N/A,,Mushroom
Frank_Breakfast_Vegan Roasted Butternut Squash Sauce,Frank,Breakfast,Expo Station,Vegan Roasted Butternut Squash Sauce,60.00 CUP,48.54,2.67,1.88,NA,0,71.28,5.9,1.15,1.37,NA,0.76,4739.38,9.73,24.42,0.55,0.38,0,N/A,N/A,,"Butternut Squash;Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (preservative).);Kosher Salt;Garlic;Black Pepper;Lime Juice (Lime Juice From Concentrate (Water, Concentrated Lime Juice), Sodium Benzoate (Preservative), Lime Oil, Sodium Metabisulfite (Preservative).);"
Frank_Breakfast_BZ Protein Smoothie,Frank,Breakfast,Pizza,BZ Protein Smoothie,313.00 CUP,656.93,15.23,1.78,NA,0,153.72,125.1,7.53,91.02,NA,12.09,939.31,7.61,92.12,3.83,55.16,0,N/A,N/A,,"Water, Organic Oats, Organic Oat Bran, Contains 1% Or Less Of Gellan Gum, Sea Salt, Tricalcium Phosphate, Vitamin D2, Bananas, Flax Seed, Gluten Free Rolled Oats, Roasted Sunflower Seeds, Sugar, Mono And Diglycerides, Salt, Spinach, Natural Process Cocoa, Organic Agave Syrup, Water, Citric Acid, Potassium Sorbate And Sodium Benzoate (Preservatives)., Cinnamon"
Frank_Breakfast_Cheese Pizza,Frank,Breakfast,Pizza,Cheese Pizza,78.00 PIZ,166.8,6.12,2.83,NA,17.57,495.3,19.28,1.24,1.53,NA,9.07,224.75,1.19,186.44,1.3,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose)"
Frank_Breakfast_Garlic Cheese Bread Pizza Squares 2 Each,Frank,Breakfast,Pizza,Garlic Cheese Bread Pizza Squares 2 Each,154.20 SERV,423.16,20.84,7.36,NA,39.68,1072.92,40.49,2.2,2.1,NA,19.77,372.12,2.95,439.02,2.32,37.89,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup,Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme);Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative);Soybean Oil, Water, Cultured Buttermilk, Vinegar, High Fructose Corn Syrup, Buttermilk, Salt, Contains less than 2% of Dehydrated Onion, Egg Yolk, Garlic Powder, Lactic Acid, Monosodium Glutamate, Onion Powder, Phosphoric Acid, Polysorbate 60, Potassium Sorb"
Frank_Breakfast_Pepperoni Pizza,Frank,Breakfast,Pizza,Pepperoni Pizza,117.00 PIZ,252.57,10.19,4.28,0,27.71,761.15,28.63,1.86,2.24,NA,12.16,276.17,1.79,206.57,1.88,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Pork, Beef, Salt, Contains 2% Or Less Of Water, Spice, Seasoning (Cane Sugar, Celery Juice Powder), Seasoning (Extractives Of Paprika, Natural Spice Extra"
Frank_Breakfast_Bee Sting Flatbread,Frank,Breakfast,Pizza,Bee Sting Flatbread,59.00 PIZ,148.68,8.72,3.77,NA,23.47,431.8,11.68,0.61,6.6,NA,6.58,206.97,5.4,145,0.46,3.66,0,N/A,N/A,"Milk, Soy, Wheat","Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid., Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Ascorbic Acid Added As Dough Conditioner, Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid), Water, Soybean And/Or Canola Oil, Cultured Wheat Flour, Salt, Sugar, Dried Sourdough (Wheat Flour, Rye Flour, Yeast, Ascorbic Acid, Amylase, Xyla"
Frank_Breakfast_OUTDOOR OMELET BAR/description,Frank,Breakfast,Grill Station,OUTDOOR OMELET BAR/description,219.77 EA,503.93,38.17,15.09,0.02,572.15,885.25,2.41,0,0.6,NA,36.55,1364.75,0,439.53,3.4,0,0,N/A,N/A,"Egg, Milk","Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Smoked Ham (Solution Ingredients: Water, Salt, Turbinado Sugar, Natural Flavor, Lactic Acid Starter Culture (Not From Milk)), Turkey Breast, Turkey Broth, Honey, Salt, Brown Sugar, Potassium Lactate, Sodium Phosphate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Pork"
